Text,True Sentiment,IBM Watson Sentiment,IBM Watson Confidence,IBM Watson Response Time (s)
indicate amazing be_intimate every sequence carrie spitfire doug lovable multiplication imbecile arthur spence danny Protestant_deacon carries boss add squeamish final_stage sense_of_touch indicate tying funny piss pant moments one seasons doug try come carrie drunk nicer drunk squeamish husband right carrie isnt much better boss needs informatics driver testify minuscule typesetter's_case job carrie hesitate views doug pig doesnt deficiency hinder hires dougs Quaker rather wife year believe funny yellatrandom arthur dropdead screaming angry hey would hold_out cellar mold funny smell hold dizzy indicate screaming havent seen as_yet havent exist,positive,negative,-0.899213,0.35350537300109863
express_mirth one petty movies always commend acquaintance seeking something ordinary hard rooted nut romance traditions past_tense look contemporary even definitely ahead_of_time air doesnt engagement often bogdanovich wisely keeps whole enterprise light feet reality never brings bloody terra_firma said sort sweet petty movie utterly swear thespian bread_and_butter depart tal blessed stargaze cast read requirements sort tale movie wouldnt loiter long store werent petty moments provided fantabulous cast colleen camps simultaneously shouting orders john ritter firedog blaine novak unleashing whisker chapeau specially moment dorothy stratten falls john ritter allege howweird man blow one doesnt neediness lay often fear crushing certainly leave one light heart grin unity face,positive,negative,-0.772221,0.351121187210083
one bribable meaningless nonpeaceful cinema ever seen agency israelis racist backward unfair one song act_as es elevator_car radiocommunication pulled aboard rightwing israeli driver lay write natacha atlas_vertebra birdcall style rather arabic bring_out israeli compiling candle even_out listen radiocommunication israel many israeli birdcall well computer_architecture food slang shape arabic culture conclude israeli Jew would appal anger nearby elevator_car playing song way es appear equanimity collected shades cool limelight via long withal tear mean force viewer construe Jew haggard racist es imposing temperatebr br traveled israel never seen idf enlisting poster since help compulsory film enlisting poster describe unimaginative image Arabian terrorist words deprivation shoot extremely inaccurate limning brainpower majority israelis well israeli soldiers advertizement wouldnt even_out exist random israeli highway let_in director aims convert audience israel society antiarab racist hellbent murderbr br ninja scene gratuitous needlessly violent hollywoodstyle process scene involving israeli soldiers inject palestinians would unwelcome israelidirected film ninja scene conclude range unrealistic noncomic violent scenario bring_off kindle applause audience since director smeared israeli side much beforehand tear israeli soldiers stamp_out would receive director shows perfectly attempt work_up span depicting human working towards peace fury take_in solution further picture exploding tank falling guard towers random acts devastation one best Friend villein israeli armed_forces point firing ranges never Arabian fair_sex dressed black quasicivilian canvas soldiers checkpoints instructed fire head approaching Palestinian unless clear life_history danger method_acting concord Quaker render warning exclaim fire air_out around area else fails shoot pegleg question hospitalize arbitrarily target woman head shown film right procedurebr br as_well inaccuracies guide style also poor repetition suit repetitious retentive catch symbol balloon Arafat pull_in thrust remote plot structure effective consolidation limit balloon palestine penetrating regaining capital_of_Israel produce conclude es ambulance check_into permission israeli soldiers trace subsequent israeli ambulances flying past checkpoint overlyovert take israeli treble banner director attempt director show animation nazareth drab unpointed make_out overkill shew routines random people even_out slight alteration meter accent one member cast ever grin minimalist duologue almost screams purport picture boringness animation without reserve much way personal interpretation direct_contrast one section movie day-by-day animation nazareth 2d section checkpoint ramallah israel director subtly fault boringness israel never render guide prove rap the_right_way arguedbr br spent hr strain trope music ended abruptly began abruptly many modern fashionshowlike metalaction tracks let_in grudge withal come_up answer felt music set film direct_contrast soundless picture intense picture in_reality vexatious bear_upon thoughtprovoking understand director intended music render comic panorama sealed picture found zilch comic found israeli soldiers inject point fighting ninja woman lose some_other walkway checkpoint albeit contumaciously fact entice conclude ears intense picture nark lack grudge quiet picture any managing_director intent allow audial displeasure passim filmbr br film legalise political message render inaccurate uttermost agency fail in_reality direct write_out propaganda film director intends versatile symbol vogue picture draw sympathy Palestinian side displaying israeli side cruel insensate without exclusion vivacious atmosphere actionpacked hollywood scene intense music expose every act_as fury palestinians israelis almost inevitably positivistic shudder tone music filming kindle audience directed one side cogitate reflection deepening understanding contravene audience emotions simply pulled one side kept good vs uncollectible clich scenario think film lacked deepness select king Palestinian cinema Eden wedding galilee,negative,negative,-0.971232,0.4541940689086914
mommy curse last series kharis mum pic seems creativity run somewhat dry clock_time made one kharis mate ananka last bayous Pelican_State resurrection searches darling princess last Pelican_State isnt made exclusively clear respective people trying find watcher ascertain mum murdersbr br mommy curse watchable rattling wasnt anything limited impression passim motion-picture_show id date quite_an candidly apart master mum boris karloff mum picture_show favorites among old linguistic_universal repugnance theyre bad sire moment repetitivebr br cracking scenes motion-picture_show scene ananka issue_forth life drench instance boilersuit didnt much mebr br Worth visualize want arrant see mum picture_show otherwise might want pass one,negative,negative,-0.84009,0.4141230583190918
unity favorite shows back recall went air friday possibly saturdaynight nine meshing Australia darren mcgavin Neil_Simon oakland with_child togetherbr atomic_number_35 episode usually reached climax kolchack engage mitt mitt combat variety supernatural opponent citation writers take_a_leak concerted endeavour get out usual round vampire touch much possiblebr atomic_number_35 recollect unity episode adversary spirit antediluvian indian master whichwho came back massive electric stream originate kill mass city hospital final showdown regard kolchack hear forgetful tour force savage amidst explosion glint billow fire oh fountainhead time interesting ideabr atomic_number_35 mcgavin always mob dole_out energy exuberance roles unity bestbr atomic_number_35 definitely merit place tv_set hall fame quote tony vincenzo kolchack case hall famein,positive,neutral,0.0,0.40942978858947754
ah yes cinque series mvc top enunciate sustain one-half crew fell asleep line_of_work unfortunately gameplay one-half dont sustain wrong fun sustain hackneyed romance buttons plot summary ahahahahahaaaaa plot tick blackguard end win eh recreate self in_any_case,negative,negative,-0.995824,0.40658140182495117
screen day_of_the_month columbia impression decent take consequence take first dont defect worker take lupus_erythematosus trouble script likewise read take made people looking escape realness script made ann sotherns character feeling weak kept going back forth suitors palpate though stayed Alice_Paul kellys character end truly aid kinsperson would done anything make end fickle neil hamilton ruling expert time Alice_Paul kellys character although workaholic man unity truly bonk kitty-cat ann sothern pit neil hamilton same lot didnt see deepness love character production appreciate great script could used piffling forge,negative,positive,0.639463,0.40894412994384766
im for_sure sword_lily film have carl brashears mystify life story coming civil rights era brashear became inspiration people minority groups will settle status expectedbr br brashear fiddle cuba gooding Junior conduce example conduct life chosen exchangeable jackie Lennox_Robinson integrated baseball_game have bond character conduct brashear gooding knows want sharecrop_farmer life father carl lumbly lumbly throw real_number clear cause life helium gottenbr br provoke President_Truman integrated fortify serving macrocosm war two navy even limitation disgraceful man cook officer valet real_number push component refuse thats good plenty gooding applies become navy bass ocean diverbr br plunk civilise bayonne newly NJ gooding generate cast mostly master chief petty ship's_officer accusation robert deniro deniro Crataegus_oxycantha leftover prejudice helium all_the_same grinder one enliven one cause go_on racial dividebr br best matter men honor chemistry deniro gooding for_sure ejaculate different plaza cause know ferment men honorbr br good performances note charlize theron deniros married_woman hal holbrook head plunk civilise guy navy wish would put_out grounds youll seebr br men honor inspiring story people courage supererogatory power alteration,positive,positive,0.896308,0.4118690490722656
dr lucio fulci lucio fulci director gory revulsion movies come_out feel effect take many blinking panorama chitchat topical_anesthetic psychiatrist encounter recede marble prove bad approximation since shrink actually demented liquidator responsible_for spate sick drink_down capture opportunity make fulci fall cat crackers testicle doctor hypnotises revulsion cab thinking responsible_for Holocene_epoch serial_publication murdersbr atomic_number_35 Earth's_surface cat brain come_along fantastically gory treat spaghettisplatter divinity lucio fulci chock to_the_full chainsaw dismemberment axe tone-beginning various blinking drink_down film certainly slop plenty red_Bordeaux even hardened gorehounds one looking closer turns many gruesome panorama lifted earliest movies for_the_most_part fulcis masterpiece remove equating one bequeath great canonic plot approximation whole neutralise welcome nudity painful performances fulci david litre thompson psychotic_person shrinkbr atomic_number_35 film progresses develop incomprehensible mess borrowed gore footage inserted haphazardly attempt solve convincingly story youve seen fulcis jot death ghosts sodom mario bianchis murder surreptitious youve already seen best moment cat brain beforebr atomic_number_35 much bloodletting film wraps sort_of quickly leaving viewer feeling bewildered pretty cheated watch film youre fulci completist would paint_a_picture seeking films salutary moment choose,negative,negative,-0.996442,0.40868067741394043
lightheated cassaveteslove story sunnily get two wonderful performances gena rowlands seymour cassell rowlands never beautiful reduce damage mids woman conform_to match seymour cassell powderkeg Energy romantic notions damage br br groovy patronage performance val avery zelmo Jonathan_Swift unusual incessantly herd's_grass carey thats deserving cost entrance_money made husbands woman influence Ca accessible movie touch heart anyone specially cassavetes haters title films long ponderously grave sentence made top ten year check enough citizenry,positive,negative,-0.501701,0.32606935501098633
regretful form seen often forged all_the_same lame movie basically rehash siegels coogans bold chief difference clint eastwoods lid personal_appeal totally joe bread_maker unappealing actor onebr bromine however venantino venantini great great fun regretful guy sort budget vittorio gassman chief cause sit steampile rest cast_of_characters save generally terrible playacting specially young_woman poor_people old rossano brazzi hard consider amorous lead watch mondo lambaste see hunt outside women looking like secondtier ben gazzara hes give_way next nil joe father show unfortunately scored generic_wine action movie music couldnt boringbr bromine greydon clark nominate upright bmovies without warning head_trip falls recess nose loses three teeth well least malta localisation overnice theres venantini render economise day,negative,negative,-0.966367,0.3662910461425781
dont bonk crew cky everything get seems genius simplicity folly wasted incredibly dense funny almost comedic excellence sometimes take_a_leak utterly good_sense caresbr br made express_joy ass musthave ckyjackass aficionado,positive,negative,-0.54842,0.42844486236572266
conclude elect give flick shaft due presence oscar winner ernest borgnine say greatest waste good actor ever_so put film Interahamwe could differentiate borgnine actor performance uniformly tremendous amazed studio would actually pay performers appear couple tear_down gift acting department story trudge insipid thought eyes going start phlebotomize fourth_dimension course_credit wrap perfect cinematic disaster obviously film made appeal hearing nestling credit safe original programing Walt_Disney television_channel similar kidfocused networks frankly differentiate much,negative,negative,-0.796157,0.4155550003051758
leos carax made great pic boys gather girl mauvais sang LE amants du pont neuf fact films great violence young ravisher juvenile wild carax trey pic well mindful cinema tried urinate sight artistic_production without thinking seen apply unfreeze multiplication pola tenner different moving-picture_show carax made LE amants du pont neuf monstruosity millions clam film destruct everything way moving-picture_show buzzword another one breaker_point horizon leos carax switch moving-picture_show isnt beautiful world-class reasonable studio woolgather Paris carax infix last reality neat anymore poetic characters carax become romantic German_language sense,positive,negative,-0.431126,0.4132046699523926
slap-up calamity richard Harris privy derek long u shouldnt unsighted anybody fact pretty atrocious blotch appear mens resume doubt privy derek think picture_show married_woman same hot one meg years before_Christ maryln monroe raquel welsh severally creating iconic sex symbol new decade run sweep_up dudley Dudley_Stuart_John_Moore beach bos reputation allstar cast location filming sri lanka signify zero could lead wrongly unfortunately say mortals plan god laugh said motion-picture_show premiere edgar rice burrows estate tried take legal action_at_law bo derek plays jane Charlie_Parker sets turnofthe C africa reunite drunken opprobrious dad richard Harris daddy Charlie_Parker explorer fructify breakthrough slap-up inland sea clobber local_anaesthetic caption whose universe poopooed formal wisdom Harris worth see marvellously hammy tanked execution admit singing Irish ditty indian elephant somehow base way africa get_in metre orangutan sumatra what_is_more although jane confess despise Charlie_Parker bo rich_people kinship creepily incestuous testimony perhaps outcome tropical heat long even_so local_anaesthetic legends set_about broadcast slap-up white ape jane find_out famed yodel picture_show remind miles okeefe next bmovie star making kind_of odd debut loinclothed nobleman hobo_camp unlike johnny weismuller pidgin english ron ely speaks linguistic_communication fluently okeefe Tarzan damp gift bo richies duologue though probably risky thing Harris caravan eventually strain slap-up inland sea locate atop gigantic plateau seems run halfway crossways africahang arent seas lakes weak invest generally locate lowlying areas nevermind one many anomalousness privy derek population crew seek get_on cliffs ropes snap Harris roars recall abuse pitiful gentleman's_gentleman plummeted demise some_other occasion jane decides take au_naturel swimming inland sea giving some_other occasion see gratuitous nudity nowhere unity Male lion appear social_lion commonly trip prides never lead near beaches former Tarzan wrestling venomous feather_boa constrictor fauna doesnt look one privy dereks strong head Tarzan picture_show jane get enamor nobleman hobo_camp solve take virginity learn closeness Pan_troglodytes wonderspeaking edgar rice William_S._Burroughs estate could sued highly likely sealed prelate phone lawyers Pan_troglodytes hit misfire cheeta badly particularly ludicrous things same devolve_on plump_for elephants clap hands Tarzan jane at_long_last come culminate motion-picture_show bo Harris captivate kind_of stereotypical cannibals paint heroine prepare sacrificeeatexecute answer say slap-up wooden ape gets girl spoiler Harris gets empale huge elephant ivory doesnt stop_over dying Charlie_Parker delivering rambling soliloquy jane FAR aware jurisprudence courting rice burrows estate never materialize Tarzan ape man crucified boxful agency kidding pathos privy derek could directed Tarzan ape man bo derek miles okeefe live domestic_help bliss dudley Dudley_Stuart_John_Moore male_child,negative,negative,-0.968059,0.3611178398132324
moving_picture Hector_Hevodidbon Canis_aureus quinn outside terrorist Central_Intelligence_Agency agent henry fieldss Dame_Joan_Sutherland description appears maim women tyke heck to_the_lowest_degree thats says guiltiness us naval officer annibal ramirez quinn contract grant receive Hector_Hevodidbon coiffe double-crosser heart KGB ramirez apparently physically selfsame Hector_Hevodidbon mentally antithesis stand order_of_magnitude Hector_Hevodidbon stand chaosbr bromine moving_picture isnt shootgunjumparound legal_action thats good thing low_gear half ramirez undergoes take_aim enactment think alike Hector_Hevodidbon thats really moving_picture attain distinction runofthemill legal_action flicks israeli agent kingsley joins sphere take_aim ramirez in_concert appear use_up roles parents birthing ramirezs newly character ramirez taught disfavor thing Hector_Hevodidbon disfavor enactment split s alike Hector_Hevodidbon would even pull_in enjoy alike Hector_Hevodidbon courtesy exgirlfriend Glen_Gebhard of_course taught would couch good use by_and_by half moving_picture fiddling contrived quinn gives focus performance carloswannabebr bromine another thing care moving_picture didnt utilize much exaggerated plot_of_ground designate malevolent duplicate movies know one malevolent duplicate intimate good Gemini family ramirezs family receive exposure or_else foreground newly character shipwreck mayhem family lifebr bromine good chuckle body_fluid injected moving_picture often coming acerbic duet Dame_Joan_Sutherland kingsley exclusion overuse apparently gratuitous joke call_for ramirezs low_gear key_out annibal annabelle receive also exaggerated never-ending dwell duet powerful sly intelligent Hector_Hevodidbon opinion final_examination face-off proceeds wasnt able match buildupbr bromine whole moving_picture enjoyable im big legal_action flick fan moving_picture intelligent engrossing median legal_action moving_picture maintained tending throughoutbr bromine tell_on,positive,positive,0.989954,0.45012807846069336
endeavour bring back teen slasher music_genre taken outside spoofs the_like scarey movie shriek have_intercourse concluding Fri th Valentine betray people the_like halloween original unexampled went beyond anything thats always arrange the_like scream least made common_sense Valentine pillock slasherflick hardly Al_Gore soever patch similar halloween urban caption funny_remark moment Orcinus_orca comes screen have_intercourse sssssssssssooooooooooooo predictable teen slasher music_genre dead get itbr br,negative,negative,-0.995157,0.39441466331481934
come_across movie first came patty didnt want class sibling however juvenile_person justice system dont manage patty looked typeface file judge sent juvenile_person custody deftness claimed breach find privacy looking private filing_cabinet wanted syndicate together couldnt blame parents even scene parents unity smaller youngster public_toilet begetter stopped let force_back leave youngster stranded service station patty need assurance protect since one-time placed foster homes good theatrical_role social prole got support syndicate head social prole retain telling hind_end interpose power crazy unity patty placed juvenile_person deftness didnt blend begetter released prison abandonment yet youngster arrest in-between made feel unsafe,positive,negative,-0.726033,0.4220750331878662
went find flush cast id become find normans room reasonableness flick pop_the_question diane keaton Leonardo_da_Vinci Diamond_State caprio also meryl Streep loved every narrow notebook_computer tied though chickflit calorie-free encounter anything pop_the_question performances Vanessa redgrave meryl Streep patrick Charles_Thomson_Rees_Wilson John_Herschel_Glenn_Jr. close would to_the_lowest_degree good instead found sometimes tied greatest player overcome trite simplistic one occasion genuinely offensive materialbr BR job way film integrated rattling bask motion_picture cut punt off time tell_apart storyso long one earned_run_average light vise poetise genus_Vanessa graphic_symbol deathbed recalling yesteryear consequence felt mistake riveting times set_off rattling indicate yesteryear mistake nothing elucidate affair fact relieve_oneself look nonmeaningful silly girl meets son girl gets son girl loses son fashion unconvincing clichd wrongheaded way possiblebr BR spoilers deport mind persist_in readingbr BR for_the_first_time claire danes brutally miscast tied Menachem_Begin resemble Vanessa redgrave young woman nowhere go_up chops comes behave dont puzzle awry good decent use one patrick Charles_Thomson_Rees_Wilson miscast though behave chops almost pull hed better befit set_off hugh dancy trifle rich fox wasp objective sexual attraction one atomic_number_2 sting waspy hugh dancy one bill im tortured drunk wait public_treasury encounter im loo compositor's_case sexually repressed world fuddle superfluous make fool figurehead everyone have_it_off offensive style cash_in_one's_chips jazz would thats affair materialize queer fifty ludicrous wrongheaded bollix_up nearly threw sugarcoat screenbr BR modern set_off toni collette sister veneration commitment jealousy sisters perfect life sister wondering shes prepare decent option pregnancy tooperfect boyfriend rattling mightiness interesting meaningful trifle patrick Charles_Thomson_Rees_Wilson ebon mossbachrach mightiness interesting James_Thomas_Harris impart dreamy heart anyway hashed much not_bad profoundness rattling present fresh momentousbr BR top meryl Streep doesnt tied appear last ten minutes flick previous noblewoman makeup hides many seventh_cranial_nerve expressions shes all_the_same good shes meryl meryl encounter way pull tied silly dialogue punishing makeupbr BR put plainly flick every clich rattling meaningful content flick book adds rattling clientele trotted ii hours long braid lifespan movieoftheweek medicine vouch hang-up raw complete failure meaningful film_making aspect have meryl vanessabr BR require flick twadd LE please coiffure comments flush away time life want genuinely meaningful live serve dandy player movie_maker have_it_off simple story life death frill brings lease normans room encounter genuinely dandy behave,negative,negative,-0.566834,0.4156308174133301
expected in_force id seen ozons superb moments say a_lot film brilliantly clever brilliantly emotionally visionally unadulterated moments every movement reason everything fits close primordially true in_force film knockout innocence simplicity,positive,positive,0.999926,0.31574463844299316
went screening sister Helen_of_Troy sundance plastic_film festival acknowledge expectbr Br rivet people documentary sister Helen_of_Troy incredible fiber filmmakers captured essence sister Helen_of_Troy amazing soul use_up world unknown exhaustively gratify journey totally caught guard cinema endingbr Br plastic_film speaks hope second chance living,positive,positive,0.826752,0.3956873416900635
okayso ive fancy lot really oddunusual motion_picture mean_solar_day concern odium las vegas seminal_fluid heed imagine well anymorefrom whenever someone call_for hey whats unusual moving-picture_show youve ever fancy airstream complaint enounce stand_for unusual good waybr br beginning moving-picture_show obvious run 1 trippy photographic_camera effect motion_picture stand_for little things like wink picture screen rewinding fastforwarding peoples word_of_honor scenes mess colorise screen meretricious forwards meretricious back constantlythen actual work people haphazardly flummox trigger-happy fritter_away thingspeople enounce weirdest things dont make much sensebr br moving-picture_show writer starts immingle rattling lifetime volume hes writing deficiency better way excuse essentially get_a_line spark_off run_low throughout moving-picture_show thing johnny depp cash_in_one's_chips exchangeable spark_off concern odium las vegas remainder spark_off entertaining take_in terrible aboveboard rattling hard time eve finish_up airstream variety hurt nous bitbr br get_a_line moving_picture buff making exact moving-picture_show certain cinematic shade make unequaled impart feeling dementiablah claptrap claptrap degree moving-picture_show hurts nous take_in itit makes little sense takes denseness eve remotely try understand run eve remnant thing happy overand enounce actually ride closing want get_a_line moving-picture_show aver heck flashy head go ahead wild time_of_day minutes check outbr br mr Anthony_Hopkins clap actor commend choice require stab directingplease ever make moving-picture_show like next time try something relies little big storytelling photographic_camera techniques run provide viewer headache,negative,negative,-0.763158,0.4091048240661621
wow didnt know someone would wee-wee movie frightful written affair tell atomic_number_92 privation see moviebr Br number biggest mouth_off ever mouth_off could see people dancing around Br Br ravethey see blood everywhereno peopletwo ruined tent one stage drinkbr Br worst actors ever assure chieftain bunch frightful Br Br one people burn ordinary gun fritter_away nearly times without reload Br Br didnt cognise every soul earthly_concern could push pro must new thingbr Br question producer thinking departure swelled score gon atomic_number_11 Greco-Roman trusted atomic_number_92 obtuse st anyway dont see movie waistline meter eyes however run,negative,negative,-0.989855,0.4093019962310791
view hurlyburly second select affliction betray never seen many the_great_unwashed base_on_balls movie sean penn kevin spacey chazz palminteri nada redeem cokesnorting continuously pedantic bad mametwannabe,negative,negative,-0.918291,0.40810322761535645
original book set habit tv series people watch style ironically tube train cheeseparing stop train painted look like train underground drama game hanging storyline plot jarrow march infirm version scholar beginning suppose world more_or_less presuppose fashioning suppose poorness marchers much affair engorge japp cater weak set_up something take prison_term would get_to properly one-half hr show could filmed book get_to easily long show obvious instalment victim style content,negative,negative,-0.952381,0.4187302589416504
rarely anyone deny Hitchcock remains one originative inventive fertile manager time arguably affair admit dependable wiz scare generations shoot goer make showers endure neck_opening association saboteur however originative fertile rather Hitchcock set someone aim create shoot muster_up American pride certain calltoarms supportourtroops claim pop paper time take_care Hitchcock sternly underplay important scene shoot including confine legitimate plot delineation credible dialog facile running plot_line br br typically Hitchcock cracking espionage celluloid age earlier accomplish cinematic vastness strange corespondant steps seemingly lost stride create saboteur merely recycled oncethrilling level lines old excursions promptly provided without pass_away cracking profoundness list celluloid major problems br br disdain face cockeyed every newsprint across america mortal recognizes kane blindbr br dinner_party party kane patricia dont neediness hightail_it door risky guys might snap tell party gate crasher logically prevent sleuth grabbing saying point even_out besides anyone require reminded kane precious terroristbr br since fan smash turn_off handcuffs br br cypher recognizes himhis face every newsprint br br sleuth catch kane ghost town assume atomic_number_2 military_personnel freeman sent process themshouldntt form credentials know sleuth dont hightail_it just_about cite tags pic ids secret handshake possibly br br hook picks kane take_to_the_woods freemans house still look one recognizes guybr br exactly FBI come believe kane grounds dont fifty-fifty show kane babble_out FBI scene simply fades push assume everything kosherbr br cops search fair caravan know kane woman blind military_personnel believed kanes level olibanum logically would cover girl miss snatch fifty-fifty importantly running kane movie employ logicbr br running list movie shake_up plot build sense world full people volitionally guide precious terrorists home_base cars unremarkable grownup thing Hitchcock fails miserably one,negative,negative,-0.998991,0.40648770332336426
lie_with others revealed spoilers wont unusual introduce actually sort weird went along altogether camille difficult break draw_in convincingly maybe thats the_great_unwashed despised think sienna excellent acting acquisition enabled boom break perfectly without schmaltzy ridiculous dont know regular interested loser comparable james franco conjoin anyway comparable doer as_well thought terrific caper nil ashamed film similar frame-up eg trace simply know sienna miller went along position save script find groovy acting talent vastly underrate hope go recognized public thought actors played parts well hope the_great_unwashed get come_across movie highly recommend surprised local_anaesthetic stoppage buster store copy usable definitely plan buy,positive,negative,-0.757515,0.40880703926086426
